,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@LefterisJP Lmaooo,1446,68,2022-11-20 02:10:11+00:00
1,elonmusk,@TrungTPhan 🤣🤣,6878,299,2022-11-20 02:07:29+00:00
2,elonmusk,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. https://t.co/jmkhFuyfkv",348228,60574,2022-11-20 00:53:25+00:00
3,elonmusk,@TheBabylonBee 🤣 but actually,18600,822,2022-11-20 00:30:26+00:00
4,elonmusk,@MomAngtrades 🤣,37588,1661,2022-11-20 00:15:30+00:00
5,elonmusk,134M people have seen this poll,125958,7108,2022-11-19 23:07:08+00:00
6,elonmusk,@TrungTPhan Red Bull does work tbh,31619,1367,2022-11-19 23:05:34+00:00
7,elonmusk,@BillyM2k @lexfridman Definitely need to improve Twitter’s dopamine/cortisol ratio!,7315,446,2022-11-19 22:49:44+00:00
8,elonmusk,@BillyM2k @waitbutwhy I agree,3373,146,2022-11-19 22:48:54+00:00
9,elonmusk,@micsolana 🤣🤣,4969,190,2022-11-19 21:21:31+00:00
10,elonmusk,The most entertaining outcome is the most likely – my variant on Occam’s Razor,100174,6776,2022-11-19 21:19:48+00:00
11,elonmusk,@alexxubyte Twitter search will add feedback loops to improve result rank based on which result you click on &amp; whether you immediately click back (implies wrong result),3991,251,2022-11-19 21:16:47+00:00
12,elonmusk,"@alexxubyte Notes from last night:
- Maybe deprecate TLS this week, as only needed if Android app &gt;1 year old.
- Home mixer computes Home  ~10X faster than Timeline.
- Ad mixer can greatly improve relevance at cost of lower total ad views. More interesting the ad, more time you look at it.",14888,1001,2022-11-19 21:14:12+00:00
13,elonmusk,@ErrolWebber Most accurate would be to require access to phone GPS for location-specific polls,7725,451,2022-11-19 14:12:19+00:00
14,elonmusk,@ErrolWebber Yes,5443,252,2022-11-19 14:11:07+00:00
15,elonmusk,Fascinating to watch Twitter Trump poll!,360601,20335,2022-11-19 13:23:21+00:00
16,elonmusk,@Nomad_1x Bot &amp; troll armies might be running out of steam soon. Some interesting lessons to clean up future polls.,33066,3460,2022-11-19 13:02:19+00:00
17,elonmusk,@DavidSacks Good question,24853,1343,2022-11-19 12:45:54+00:00
18,elonmusk,@WholeMarsBlog Most amount of people I’ve ever seen in the building by far,180129,7655,2022-11-19 12:19:23+00:00
19,elonmusk,@micsolana 🤣🤣,5634,204,2022-11-19 12:02:22+00:00
20,elonmusk,@Jason @DavidSacks @Zappos That was certainly my intention too!,4980,185,2022-11-19 11:43:12+00:00
21,elonmusk,Tesla FSD 10.69.3.1 going to wide release now,105166,6298,2022-11-19 09:37:51+00:00
22,elonmusk,Just leaving Twitter HQ code review https://t.co/pYcXRTJm14,400992,32173,2022-11-19 09:28:36+00:00
23,elonmusk,@Nomad_1x The bot attack is impressive to watch!,53261,3961,2022-11-19 09:21:31+00:00
24,elonmusk,Trump poll getting ~1M votes/hour!,518560,33238,2022-11-19 09:05:35+00:00
25,elonmusk,@micsolana Can’t tell if this is parody or real,8954,325,2022-11-19 09:02:30+00:00
26,elonmusk,"@jack @Lucididy @jordanbpeterson Verification through the payment system plus phones, but allowing pseudonyms is the least bad solution I can think of",13279,757,2022-11-19 06:06:34+00:00
27,elonmusk,"@saylor When polls are about a significant question, even those who don’t follow me tend to hear about it. That said, I agree with the idea of an all-user poll. Should also be an all-user by country poll.",186651,7548,2022-11-19 02:09:59+00:00
28,elonmusk,@lexfridman Agreed,28734,659,2022-11-19 02:07:59+00:00
29,elonmusk,"Vox Populi, Vox Dei",252187,19768,2022-11-19 00:53:47+00:00
30,elonmusk,Reinstate former President Trump,643589,219483,2022-11-19 00:47:45+00:00
31,elonmusk,@thevivafrei @paraga @jack Too bad,59132,1822,2022-11-19 00:41:18+00:00
32,elonmusk,@S3XYstarship @slashdot DoJ Antitrust @JusticeATR,4111,258,2022-11-19 00:25:35+00:00
33,elonmusk,"@slashdot App store fees are obviously too high due to the iOS/Android duopoly. 

It is a hidden 30% tax on the Internet.",51674,4526,2022-11-19 00:15:53+00:00
34,elonmusk,@Tesmanian_com Kind of him to say. I look forward to meeting.,51358,2266,2022-11-19 00:13:23+00:00
35,elonmusk,@TrungTPhan 🤣,6450,194,2022-11-18 22:14:51+00:00
36,elonmusk,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.,601129,54269,2022-11-18 22:07:39+00:00
